alarm_before_eventual_death_stay_n,analysis_type,evaluated_stay_n,eventual_death_stay_n,eventual_lead_time_iqr_high_hours,eventual_lead_time_iqr_low_hours,eventual_lead_time_max_hours,eventual_lead_time_median_hours,false_or_non_strict_first_alarm_stay_n,first_alarm_stay_n,fp,lead_time_definition,model_name,n,net_benefit,net_benefit_minus_treat_all,net_benefit_minus_treat_none,no_alarm_stay_n,positive_n,prevalence,strict_eventual_death_capture_rate,strict_lead_time_iqr_high_hours,strict_lead_time_iqr_low_hours,strict_lead_time_max_hours,strict_lead_time_median_hours,strict_true_alarm_ppv,strict_true_alarm_stay_n,threshold,tp,treat_all_net_benefit,treat_none_net_benefit
893.0,eventual_death_leadtime_exploratory_not_strict_24h,,,177.05,19.8,5901.7,67.31666666666666,,,,eventual_death_lead_time_not_strict_24h,C1_dynamic_SOFA,,,,,,,,,,,,,,,0.03,,,
893.0,eventual_death_leadtime_exploratory_not_strict_24h,,,177.05,19.8,5901.7,67.31666666666666,,,,eventual_death_lead_time_not_strict_24h,C1_dynamic_SOFA,,,,,,,,,,,,,,,0.05,,,
891.0,eventual_death_leadtime_exploratory_not_strict_24h,,,177.44166666666666,19.73333333333333,5901.7,67.31666666666666,,,,eventual_death_lead_time_not_strict_24h,C1_dynamic_SOFA,,,,,,,,,,,,,,,0.075,,,
887.0,eventual_death_leadtime_exploratory_not_strict_24h,,,175.725,19.433333333333334,5901.7,67.03333333333333,,,,eventual_death_lead_time_not_strict_24h,C1_dynamic_SOFA,,,,,,,,,,,,,,,0.1,,,
857.0,eventual_death_leadtime_exploratory_not_strict_24h,,,175.81666666666666,18.916666666666668,5901.7,66.5,,,,eventual_death_lead_time_not_strict_24h,C1_dynamic_SOFA,,,,,,,,,,,,,,,0.15,,,
820.0,eventual_death_leadtime_exploratory_not_strict_24h,,,169.95,17.52916666666667,5900.7,64.21666666666667,,,,eventual_death_lead_time_not_strict_24h,C1_dynamic_SOFA,,,,,,,,,,,,,,,0.2,,,
893.0,eventual_death_leadtime_exploratory_not_strict_24h,,,177.05,19.8,5901.7,67.31666666666666,,,,eventual_death_lead_time_not_strict_24h,M1_original_rich,,,,,,,,,,,,,,,0.005,,,
893.0,eventual_death_leadtime_exploratory_not_strict_24h,,,177.05,19.8,5901.7,67.31666666666666,,,,eventual_death_lead_time_not_strict_24h,M1_original_rich,,,,,,,,,,,,,,,0.01,,,
893.0,eventual_death_leadtime_exploratory_not_strict_24h,,,177.05,19.8,5901.7,67.31666666666666,,,,eventual_death_lead_time_not_strict_24h,M1_original_rich,,,,,,,,,,,,,,,0.02,,,
893.0,eventual_death_leadtime_exploratory_not_strict_24h,,,177.05,19.8,5901.7,67.31666666666666,,,,eventual_death_lead_time_not_strict_24h,M1_original_rich,,,,,,,,,,,,,,,0.03,,,
893.0,eventual_death_leadtime_exploratory_not_strict_24h,,,175.03333333333333,19.8,5901.7,67.31666666666666,,,,eventual_death_lead_time_not_strict_24h,M1_original_rich,,,,,,,,,,,,,,,0.05,,,
892.0,eventual_death_leadtime_exploratory_not_strict_24h,,,173.45833333333334,19.9625,5901.7,67.3,,,,eventual_death_lead_time_not_strict_24h,M1_original_rich,,,,,,,,,,,,,,,0.075,,,
891.0,eventual_death_leadtime_exploratory_not_strict_24h,,,172.33333333333331,19.641666666666666,5901.7,66.65,,,,eventual_death_lead_time_not_strict_24h,M1_original_rich,,,,,,,,,,,,,,,0.1,,,
887.0,eventual_death_leadtime_exploratory_not_strict_24h,,,171.025,18.716666666666665,5901.7,65.45,,,,eventual_death_lead_time_not_strict_24h,M1_original_rich,,,,,,,,,,,,,,,0.15,,,
886.0,eventual_death_leadtime_exploratory_not_strict_24h,,,167.8,17.958333333333332,5901.7,63.5,,,,eventual_death_lead_time_not_strict_24h,M1_original_rich,,,,,,,,,,,,,,,0.2,,,
893.0,eventual_death_leadtime_exploratory_not_strict_24h,,,177.05,19.8,5901.7,67.31666666666666,,,,eventual_death_lead_time_not_strict_24h,MT3_raw,,,,,,,,,,,,,,,0.005,,,
