dataset_name,scenario,model_name,bin,n,mean_predicted_death_prob,observed_death_rate,absolute_calibration_error
mimic_internal,lab12h_freshness_window,P12_true_trained_clinical_landing_model,"(0.361, 0.49]",103052,0.4177620894709473,0.027947055855296356,0.38981503361565095
mimic_internal,lab12h_freshness_window,P12_true_trained_clinical_landing_model,"(0.49, 1.0]",103053,0.6441040596140083,0.09676574189979913,0.5473383177142092
mimic_internal,lab12h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,"(0.00887, 0.0948]",103053,0.0754021697458321,0.005045947231036457,0.07035622251479563
mimic_internal,lab12h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,"(0.0948, 0.121]",103053,0.108181999674982,0.005142984677787158,0.10303901499719484
mimic_internal,lab12h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,"(0.121, 0.146]",103052,0.13345496120234174,0.007607809649497341,0.1258471515528444
mimic_internal,lab12h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,"(0.146, 0.173]",103053,0.1596055279776811,0.008054108080308191,0.15155141989737292
mimic_internal,lab12h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,"(0.173, 0.205]",103052,0.1887766558359464,0.009373908318130652,0.17940274751781576
mimic_internal,lab12h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,"(0.205, 0.244]",103053,0.22356903910639864,0.011110787652955275,0.21245825145344335
mimic_internal,lab12h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,"(0.244, 0.294]",103052,0.2676122522689972,0.01391530489461631,0.2536969473743809
mimic_internal,lab12h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,"(0.294, 0.37]",103053,0.3290864955484107,0.018116891308355896,0.31096960424005476
mimic_internal,lab12h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,"(0.37, 0.504]",103052,0.4292532710355509,0.027335714008461746,0.40191755702708915
mimic_internal,lab12h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,"(0.504, 1.0]",103053,0.6565248285313671,0.09620292470864507,0.560321903822722
mimic_internal,lab24h_freshness_window,P15_clinically_parsimonious_transport_model,"(0.00422, 0.0812]",103053,0.0640008164194781,0.0044152038271569,0.059585612592321195
mimic_internal,lab24h_freshness_window,P15_clinically_parsimonious_transport_model,"(0.0812, 0.106]",103053,0.094058594882029,0.004483130039882391,0.08957546484214661
mimic_internal,lab24h_freshness_window,P15_clinically_parsimonious_transport_model,"(0.106, 0.131]",103052,0.11853039111642195,0.006685944959826108,0.11184444615659585
mimic_internal,lab24h_freshness_window,P15_clinically_parsimonious_transport_model,"(0.131, 0.158]",103053,0.14407786071622444,0.007646550803955246,0.1364313099122692
mimic_internal,lab24h_freshness_window,P15_clinically_parsimonious_transport_model,"(0.158, 0.19]",103052,0.17325579677023178,0.007898924814656679,0.1653568719555751
mimic_internal,lab24h_freshness_window,P15_clinically_parsimonious_transport_model,"(0.19, 0.229]",103053,0.20838635190287108,0.010150116930123335,0.19823623497274775
mimic_internal,lab24h_freshness_window,P15_clinically_parsimonious_transport_model,"(0.229, 0.28]",103052,0.25293115722125364,0.013585374374102396,0.23934578284715124
mimic_internal,lab24h_freshness_window,P15_clinically_parsimonious_transport_model,"(0.28, 0.355]",103053,0.31483402166312063,0.016447847224243837,0.2983861744388768
mimic_internal,lab24h_freshness_window,P15_clinically_parsimonious_transport_model,"(0.355, 0.485]",103052,0.4127353249672841,0.02704459884330241,0.3856907261239817
mimic_internal,lab24h_freshness_window,P15_clinically_parsimonious_transport_model,"(0.485, 1.0]",103053,0.6404046000781807,0.10354865942767313,0.5368559406505076
mimic_internal,lab24h_freshness_window,P12_true_trained_clinical_landing_model,"(0.00508, 0.0893]",103053,0.07104081484128764,0.004259943912355778,0.06678087092893187
mimic_internal,lab24h_freshness_window,P12_true_trained_clinical_landing_model,"(0.0893, 0.115]",103053,0.10262615662097015,0.004259943912355778,0.09836621270861437
mimic_internal,lab24h_freshness_window,P12_true_trained_clinical_landing_model,"(0.115, 0.141]",103052,0.1279482823627831,0.006511275860730505,0.12143700650205261
mimic_internal,lab24h_freshness_window,P12_true_trained_clinical_landing_model,"(0.141, 0.168]",103053,0.15413163559979048,0.0074718833998039845,0.1466597521999865
mimic_internal,lab24h_freshness_window,P12_true_trained_clinical_landing_model,"(0.168, 0.201]",103052,0.18388820622207727,0.007957147847688546,0.17593105837438872
mimic_internal,lab24h_freshness_window,P12_true_trained_clinical_landing_model,"(0.201, 0.241]",103053,0.21980996900987868,0.011188417610355836,0.20862155139952285
mimic_internal,lab24h_freshness_window,P12_true_trained_clinical_landing_model,"(0.241, 0.295]",103052,0.2661181794692602,0.014516942902612273,0.2516012365666479
mimic_internal,lab24h_freshness_window,P12_true_trained_clinical_landing_model,"(0.295, 0.374]",103053,0.3312539243068178,0.017981038882904914,0.3132728854239129
mimic_internal,lab24h_freshness_window,P12_true_trained_clinical_landing_model,"(0.374, 0.509]",103052,0.4336846860893475,0.027879128983425844,0.4058055571059217
mimic_internal,lab24h_freshness_window,P12_true_trained_clinical_landing_model,"(0.509, 1.0]",103053,0.6619007832024779,0.09988064394049664,0.5620201392619812
mimic_internal,lab24h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,"(0.007970000000000001, 0.0901]",103053,0.0715016338603209,0.004677204933383793,0.06682442892693712
mimic_internal,lab24h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,"(0.0901, 0.116]",103053,0.10341507462582637,0.00445401880585718,0.0989610558199692
mimic_internal,lab24h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,"(0.116, 0.142]",103052,0.12886215237482906,0.007248767612467492,0.12161338476236157
mimic_internal,lab24h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,"(0.142, 0.17]",103053,0.15549754642807492,0.007500994633829194,0.14799655179424573
mimic_internal,lab24h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,"(0.17, 0.203]",103052,0.1857129546477647,0.008743158793618755,0.17696979585414593
mimic_internal,lab24h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,"(0.203, 0.243]",103053,0.22224180957886677,0.011188417610355836,0.21105339196851094
mimic_internal,lab24h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,"(0.243, 0.298]",103052,0.2691982918937219,0.0140220471218414,0.2551762447718805
mimic_internal,lab24h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,"(0.298, 0.378]",103053,0.33494378366389593,0.01774814901070323,0.3171956346531927
mimic_internal,lab24h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,"(0.378, 0.517]",103052,0.4398397086651325,0.02846135931374452,0.411378349351388
mimic_internal,lab24h_freshness_window,P10_true_trained_ultra_minimal_sensitivity_model,"(0.517, 1.0]",103053,0.6677794830484026,0.09786226504808206,0.5699172180003206
mimic_internal,stale_lab_as_missing,P15_clinically_parsimonious_transport_model,"(0.00519, 0.0862]",103053,0.0681782532450848,0.004677204933383793,0.063501048311701
mimic_internal,stale_lab_as_missing,P15_clinically_parsimonious_transport_model,"(0.0862, 0.111]",103053,0.09882256266202505,0.005666986890240944,0.0931555757717841
mimic_internal,stale_lab_as_missing,P15_clinically_parsimonious_transport_model,"(0.111, 0.135]",103052,0.12254230271052474,0.007006171641501378,0.11553613106902336
mimic_internal,stale_lab_as_missing,P15_clinically_parsimonious_transport_model,"(0.135, 0.16]",103053,0.1470971271115116,0.008131738037708752,0.13896538907380285
mimic_internal,stale_lab_as_missing,P15_clinically_parsimonious_transport_model,"(0.16, 0.19]",103052,0.17445915060462508,0.008869308698521134,0.16558984190610396
mimic_internal,stale_lab_as_missing,P15_clinically_parsimonious_transport_model,"(0.19, 0.226]",103053,0.20698258106225007,0.010150116930123335,0.19683246413212674
mimic_internal,stale_lab_as_missing,P15_clinically_parsimonious_transport_model,"(0.226, 0.273]",103052,0.24816891729537105,0.013653301245972907,0.23451561604939813
mimic_internal,stale_lab_as_missing,P15_clinically_parsimonious_transport_model,"(0.273, 0.343]",103053,0.3052606424794754,0.016457550968918905,0.2888030915105565
mimic_internal,stale_lab_as_missing,P15_clinically_parsimonious_transport_model,"(0.343, 0.467]",103052,0.39716409326819485,0.026336218608081358,0.37082787466011347
mimic_internal,stale_lab_as_missing,P15_clinically_parsimonious_transport_model,"(0.467, 1.0]",103053,0.6205182100054599,0.10095775959942942,0.5195604504060305
mimic_internal,stale_lab_as_missing,P12_true_trained_clinical_landing_model,"(0.00555, 0.095]",103053,0.07580669992400363,0.004609278720658302,0.07119742120334532
mimic_internal,stale_lab_as_missing,P12_true_trained_clinical_landing_model,"(0.095, 0.121]",103053,0.10833316195385742,0.004958613528960826,0.1033745484248966
mimic_internal,stale_lab_as_missing,P12_true_trained_clinical_landing_model,"(0.121, 0.145]",103052,0.13296368829589472,0.007229359934790203,0.1257343283611045
mimic_internal,stale_lab_as_missing,P12_true_trained_clinical_landing_model,"(0.145, 0.172]",103053,0.1582080250953071,0.00804440433563312,0.150163620759674
mimic_internal,stale_lab_as_missing,P12_true_trained_clinical_landing_model,"(0.172, 0.202]",103052,0.1862530608598104,0.00885960485968249,0.1773934560001279
mimic_internal,stale_lab_as_missing,P12_true_trained_clinical_landing_model,"(0.202, 0.239]",103053,0.21968320086522083,0.01144071497190766,0.20824248589331318
mimic_internal,stale_lab_as_missing,P12_true_trained_clinical_landing_model,"(0.239, 0.288]",103052,0.26187297134285525,0.014235531576291581,0.24763743976656366
mimic_internal,stale_lab_as_missing,P12_true_trained_clinical_landing_model,"(0.288, 0.361]",103053,0.32123434185767225,0.01781607522342872,0.30341826663424354
mimic_internal,stale_lab_as_missing,P12_true_trained_clinical_landing_model,"(0.361, 0.49]",103052,0.4177620894709473,0.027947055855296356,0.38981503361565095
mimic_internal,stale_lab_as_missing,P12_true_trained_clinical_landing_model,"(0.49, 1.0]",103053,0.6441040596140083,0.09676574189979913,0.5473383177142092
mimic_internal,stale_lab_as_missing,P10_true_trained_ultra_minimal_sensitivity_model,"(0.00887, 0.0948]",103053,0.0754021697458321,0.005045947231036457,0.07035622251479563
mimic_internal,stale_lab_as_missing,P10_true_trained_ultra_minimal_sensitivity_model,"(0.0948, 0.121]",103053,0.108181999674982,0.005142984677787158,0.10303901499719484
mimic_internal,stale_lab_as_missing,P10_true_trained_ultra_minimal_sensitivity_model,"(0.121, 0.146]",103052,0.13345496120234174,0.007607809649497341,0.1258471515528444
mimic_internal,stale_lab_as_missing,P10_true_trained_ultra_minimal_sensitivity_model,"(0.146, 0.173]",103053,0.1596055279776811,0.008054108080308191,0.15155141989737292
