model_name,component_group,dataset_name,subgroup_type,subgroup_value,sample_n,death_n,death_rate,auroc_death_ovr,auprc_death,multiclass_brier,calibration_intercept_death,calibration_slope_death
B1_C1_MT1_physiology_only_no_proxy,B_support_intensity,mimic_internal_test,phenotype_label,Phenotype_2,371043.0,7852.0,0.021161967750368556,0.7406955313132597,0.12423612877256132,0.590576449364503,-3.1430145560913147,1.0248208750015726
B1_C1_MT1_physiology_only_no_proxy,B_support_intensity,mimic_internal_test,phenotype_label,Phenotype_3,47790.0,1553.0,0.03249633814605566,0.7401016050720287,0.14174639540098344,0.5824343775678205,-3.1830443343509844,1.0432451968393932
B1_C1_MT1_physiology_only_no_proxy,B_support_intensity,mimic_internal_test,is_sepsis_on_admission,0,258032.0,5382.0,0.020857878092639674,0.7678209294374466,0.12655585017591642,0.5716669351486644,-3.416737160146026,1.1701930263360523
B1_C1_MT1_physiology_only_no_proxy,B_support_intensity,mimic_internal_test,is_sepsis_on_admission,1,772494.0,15425.0,0.01996779263010457,0.7542974842115505,0.11087395943558007,0.6178563008033898,-3.095553182372522,0.9827263504236632
B1_C1_MT1_physiology_only_no_proxy,B_support_intensity,mimic_internal_test,phenotype_transfer_group,stable_transfer_Phenotype_1_2,982736.0,19254.0,0.019592240438937824,0.7527083305710658,0.111088152333843,0.6074511455153041,-3.185300751398036,1.0028769314110557
B1_C1_MT1_physiology_only_no_proxy,B_support_intensity,mimic_internal_test,phenotype_transfer_group,weak_transfer_Phenotype_3,47790.0,1553.0,0.03249633814605566,0.7401016050720287,0.14174639540098344,0.5824343775678205,-3.1830443343509844,1.0432451968393932
B1_C1_MT1_physiology_only_no_proxy,B_support_intensity,eicu_external,phenotype_label,Phenotype_1,901939.0,17536.0,0.019442556536528523,0.7644846611136878,0.1214803024776494,0.6818175074334183,-3.626603554945959,0.9969674976039737
B1_C1_MT1_physiology_only_no_proxy,B_support_intensity,eicu_external,phenotype_label,Phenotype_2,88640.0,2482.0,0.02800090252707581,0.7402143549810172,0.17226571166070215,0.6709329625362513,-3.433181099239093,1.0005938895914692
B1_C1_MT1_physiology_only_no_proxy,B_support_intensity,eicu_external,phenotype_label,Phenotype_3,60778.0,2575.0,0.04236730395866926,0.7257891454232248,0.1842731164653257,0.7049937830991556,-3.228427576723817,0.8893691340246974
B1_C1_MT1_physiology_only_no_proxy,B_support_intensity,eicu_external,is_sepsis_on_admission,0,643867.0,14759.0,0.022922435844669783,0.7679205596013977,0.1461095241514221,0.6744233324428023,-3.668524765182934,1.0543525576736863
B1_C1_MT1_physiology_only_no_proxy,B_support_intensity,eicu_external,is_sepsis_on_admission,1,407490.0,7834.0,0.019225011656727773,0.7620282011907314,0.11023961493876033,0.6945900095596309,-3.418160240349745,0.940964338955705
B1_C1_MT1_physiology_only_no_proxy,B_support_intensity,eicu_external,phenotype_transfer_group,stable_transfer_Phenotype_1_2,990579.0,20018.0,0.020208383177919176,0.7626880661411846,0.1271330559661189,0.680843525489843,-3.6050008256487485,1.0002920655305114
B1_C1_MT1_physiology_only_no_proxy,B_support_intensity,eicu_external,phenotype_transfer_group,weak_transfer_Phenotype_3,60778.0,2575.0,0.04236730395866926,0.7257891454232248,0.1842731164653257,0.7049937830991556,-3.228427576723817,0.8893691340246974
B2_direct_reduced_vis_flags,B_support_intensity,mimic_internal_test,phenotype_label,Phenotype_1,611693.0,11402.0,0.01864006944660148,0.7601996138637656,0.10442091044100389,0.6176870610544417,-3.2146673322684394,0.9884191431368475
B2_direct_reduced_vis_flags,B_support_intensity,mimic_internal_test,phenotype_label,Phenotype_2,371043.0,7852.0,0.021161967750368556,0.7406955313132597,0.12423612877256132,0.590576449364503,-3.1430145560913143,1.0248208750015726
B2_direct_reduced_vis_flags,B_support_intensity,mimic_internal_test,phenotype_label,Phenotype_3,47790.0,1553.0,0.03249633814605566,0.7401016050720287,0.14174639540098344,0.5824343775678205,-3.183044334350984,1.0432451968393934
B2_direct_reduced_vis_flags,B_support_intensity,mimic_internal_test,is_sepsis_on_admission,0,258032.0,5382.0,0.020857878092639674,0.7678209294374466,0.12655585017591642,0.5716669351486645,-3.416737160146026,1.1701930263360523
B2_direct_reduced_vis_flags,B_support_intensity,mimic_internal_test,is_sepsis_on_admission,1,772494.0,15425.0,0.01996779263010457,0.7542974842115505,0.11087395943558007,0.6178563008033898,-3.095553182372522,0.9827263504236633
B2_direct_reduced_vis_flags,B_support_intensity,mimic_internal_test,phenotype_transfer_group,stable_transfer_Phenotype_1_2,982736.0,19254.0,0.019592240438937824,0.7527083305710658,0.111088152333843,0.6074511455153041,-3.185300751398036,1.002876931411056
B2_direct_reduced_vis_flags,B_support_intensity,mimic_internal_test,phenotype_transfer_group,weak_transfer_Phenotype_3,47790.0,1553.0,0.03249633814605566,0.7401016050720287,0.14174639540098344,0.5824343775678205,-3.183044334350984,1.0432451968393934
