model_name,dataset_name,scenario,metric_name,bootstrap_full_sample_estimate,bootstrap_CI_lower,bootstrap_CI_upper,n_resamples_requested,n_resamples_valid,n_resamples_skipped,cluster_id_used,cluster_level,point_source
MT3_Post_METRE_transport_reference_model,eicu_external,primary_model,death_Brier,0.09930835634182739,0.09579329373202904,0.10334481626414921,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
MT3_Post_METRE_transport_reference_model,eicu_external,primary_model,multiclass_Brier,0.5926737670360296,0.5863576251876452,0.5997550031203255,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
MT3_Post_METRE_transport_reference_model,eicu_external,primary_model,calibration_intercept,-3.2569815271443083,-3.339149238969795,-3.192274314562562,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
MT3_Post_METRE_transport_reference_model,eicu_external,primary_model,calibration_slope,0.96515082550835,0.908232220148423,1.014371832432257,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
MT3_Post_METRE_transport_reference_model,eicu_external,primary_model,ECE,0.24045797354224113,0.23577322689597735,0.24588795459904106,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
M1_internal_rich_reference_model,mimic_internal,primary_model,AUROC,0.8706060787754399,0.8605593543377531,0.8807473815677915,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
M1_internal_rich_reference_model,mimic_internal,primary_model,AUPRC,0.27329018706990316,0.2480213338900946,0.2999917579937161,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
M1_internal_rich_reference_model,mimic_internal,primary_model,death_Brier,0.0822693674923373,0.07879281691362452,0.08585217120945438,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
M1_internal_rich_reference_model,mimic_internal,primary_model,multiclass_Brier,0.4672366844800886,0.45821543147678984,0.47708615870204457,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
M1_internal_rich_reference_model,mimic_internal,primary_model,calibration_intercept,-3.273295275529093,-3.349702691017836,-3.1955881901049352,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
M1_internal_rich_reference_model,mimic_internal,primary_model,calibration_slope,0.895665295468659,0.8487395824698648,0.9321188951073561,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
M1_internal_rich_reference_model,mimic_internal,primary_model,ECE,0.18593544902724385,0.180567368849718,0.1910685237443613,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
M1_internal_rich_reference_model,eicu_external,primary_model,AUROC,0.7089960270014994,0.6920550319617024,0.723860996632785,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
M1_internal_rich_reference_model,eicu_external,primary_model,AUPRC,0.03768808266607347,0.03387938725839306,0.041365757915737066,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
M1_internal_rich_reference_model,eicu_external,primary_model,death_Brier,0.25697585723536326,0.24477361949644857,0.27036253360556695,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
M1_internal_rich_reference_model,eicu_external,primary_model,multiclass_Brier,0.8788226425612441,0.8610563617917758,0.9001520861156925,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
M1_internal_rich_reference_model,eicu_external,primary_model,calibration_intercept,-3.876280772129801,-61113756.72004666,-1696983.7880761155,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
M1_internal_rich_reference_model,eicu_external,primary_model,calibration_slope,0.07282813447500927,-55008230.68176477,-1369878.519241678,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
M1_internal_rich_reference_model,eicu_external,primary_model,ECE,0.3718818370420791,0.3611675728145306,0.38381137477544885,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
C1_dynamic_SOFA_clinical_comparator,mimic_internal,primary_model,AUROC,0.7623211132262806,0.7463709143268904,0.7777895313674736,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
C1_dynamic_SOFA_clinical_comparator,mimic_internal,primary_model,AUPRC,0.10638629667868578,0.09169849855595084,0.12206358804694603,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
C1_dynamic_SOFA_clinical_comparator,mimic_internal,primary_model,death_Brier,0.11595911399219966,0.11220877493550141,0.12007130811798099,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
C1_dynamic_SOFA_clinical_comparator,mimic_internal,primary_model,multiclass_Brier,0.5585232725241237,0.5504981473713744,0.5679241116892215,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
C1_dynamic_SOFA_clinical_comparator,mimic_internal,primary_model,calibration_intercept,-3.3189832838193,-3.3858554149816125,-3.245268355096063,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
C1_dynamic_SOFA_clinical_comparator,mimic_internal,primary_model,calibration_slope,0.9323290074210878,0.8700779109495984,0.995323622430705,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
C1_dynamic_SOFA_clinical_comparator,mimic_internal,primary_model,ECE,0.26089194052454323,0.25554813003459914,0.2660304467716741,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
C1_dynamic_SOFA_clinical_comparator,eicu_external,primary_model,AUROC,0.7253473181676158,0.7082484711814176,0.741957578020345,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
C1_dynamic_SOFA_clinical_comparator,eicu_external,primary_model,AUPRC,0.06686175894737584,0.056986843279018054,0.07680417801478084,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
C1_dynamic_SOFA_clinical_comparator,eicu_external,primary_model,death_Brier,0.12325934589325836,0.11738503939792112,0.13079671294258757,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
C1_dynamic_SOFA_clinical_comparator,eicu_external,primary_model,multiclass_Brier,0.8256609410276378,0.8189150373584725,0.8330237172938703,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
